,index,reviewId,content,score,reviewCreatedVersion,at,Positive,Negative,Neutral,result
116,116,01095c0e-e887-4627-9b14-fcdbaeda81d0,"yah,its ok",4,8.0.121,5/7/2023 16:03,0.688,0.0,0.312,Positive
120,120,b6d56d7c-ba43-45c7-9fcb-bc63bc28243c,Scammer they charged me 28 rial and blocked and now saying we will not refund all of their custome support are real arrogant one of them also abused me don't go to their application,1,8.0.122,5/6/2023 9:32,0.064,0.247,0.689,Negative
124,124,47fb2ab5-ddbf-48af-ba09-35ef00a5aeaa,"Alot of restaurants don't deliver in the area, even nearby restaurants",3,8.0.119,5/5/2023 21:55,0.0,0.0,1.0,Neutral
126,126,d78f37bc-161a-4ccd-a95a-a1ea611045dc,so faster delivery thank you rider,5,8.0.121,5/5/2023 20:22,0.356,0.0,0.644,Positive
127,127,17c9b16e-9fb2-466d-8dab-4d1ad4e99699,"No customer support at all, placed an order on accident and wouldnt let me cancel it even immediately after",1,8.0.122,5/5/2023 18:52,0.179,0.214,0.606,Negative
128,128,2239803c-68e8-4d89-bc57-bc129a0eacf4,why does the app saying i am not allowed to order? this sucks.,1,8.0.122,5/5/2023 15:50,0.0,0.207,0.793,Negative
129,129,9ea89c1e-334f-4206-8c21-7ba4825028cc,our own website our website koooo,5,8.0.122,5/5/2023 15:43,0.0,0.0,1.0,Neutral
130,130,fed63eaf-4556-462c-849c-4d626cf38f45,"Bad experience, when I am in the office I can use the app, but once I arrive home at Murabbae area the app will not recognize the location and even it will not open and I can't place any order",1,8.0.121,5/5/2023 14:05,0.0,0.06,0.94,Negative
131,131,a8727d30-be23-4e17-9698-29d3e81f71ea,Worst application...i want to cancel my order but not able to contact customer care by any means ..I filled complaint form and didn't get any call from customers support ...there should be an option to contact customer care ...very bad experience...hungerstation not recommended..,1,8.0.121,5/5/2023 2:07,0.222,0.194,0.584,Positive
132,132,7bd37a18-2b50-4c5f-a9fe-23654e5da705,I personally used it from long time it's good but please improve location tracking it's very slow,4,8.0.118,5/4/2023 19:17,0.402,0.0,0.598,Positive
133,133,c6f74e66-9c52-4baf-b455-3d6a0d28592b,Ummmm,5,8.0.121,5/4/2023 8:45,0.0,0.0,1.0,Neutral
134,134,6c81b797-eb0e-488f-9461-8e7ab37a5723,they should also have US number option,4,8.0.121,5/4/2023 7:46,0.178,0.0,0.822,Positive
135,135,bc63ea01-b723-4311-83da-079853d4870b,"Bad app, my order is not delivered but driver is talk delivery completed, same drivers cheated customers, please dont pay by card and before get delivery",1,8.0.121,5/4/2023 0:43,0.133,0.202,0.665,Negative
136,136,d355bac7-afde-47bd-a877-efd4080291f9,very fast to delivered the order it's always on time,5,8.0.121,5/3/2023 22:40,0.0,0.0,1.0,Neutral
138,138,afd01628-29e3-4a17-b557-116092ea73ff,Always cancelling my orders for no reason after waiting minutes.. And 18 Riyal for just delivery is ridiculous i could buy a meal for that price .. Delete,1,,5/3/2023 17:29,0.0,0.22,0.78,Negative
139,139,4aa52720-9c05-4509-a884-ad77e49fb4c4,Wow,5,8.0.89,5/3/2023 17:24,1.0,0.0,0.0,Positive
142,142,7d001062-787e-4434-a334-b5b29017557a,Very good,5,8.0.121,5/3/2023 10:24,0.762,0.0,0.238,Positive
143,143,00aba94c-1dad-47b0-9c0d-9c4b1c8c864e,Very bad app I can't log in and I can't select address,1,8.0.121,5/3/2023 9:30,0.0,0.296,0.704,Negative
145,145,8da0f237-5bba-435e-862f-955260f9cfac,Customer service support is week and unprofessional,1,8.0.121,5/2/2023 23:33,0.245,0.3,0.455,Negative
153,153,634eefa5-e8f7-4be3-b3ad-83d85a937108,very Good,5,8.0.121,5/1/2023 23:00,0.762,0.0,0.238,Positive
154,154,a19803ba-2734-4a5c-91f4-01870fcdf2ac,Too much expensive bring Food Cold,1,8.0.121,5/1/2023 20:01,0.0,0.0,1.0,Neutral
155,155,8c5879de-6902-4323-9114-3cb363a72119,no coupon,5,8.0.121,5/1/2023 19:20,0.0,0.688,0.312,Negative
158,158,36a609c1-5ed5-43a3-97b4-f74a00c1959c,"The app works ok but the delivery times aren't accurate, my order said 20-30 mins but is already over an hour now.",3,,5/1/2023 14:23,0.071,0.0,0.929,Positive
159,159,d417e06d-125f-4897-b82f-4186d81ba924,"Very bad customer service, almost non existent. Food is delayed almost 4 times out of 10. I really recommend you download something else other than this app.",1,8.0.121,5/1/2023 13:13,0.092,0.187,0.722,Negative
161,161,15e97571-3b5d-4141-bcd9-ccd73cbbafc5,0ll,1,8.0.106,4/30/2023 19:48,0.0,0.0,1.0,Neutral
163,163,f81fc874-af4d-43ba-bf46-5bd2b1d84a8d,it's yummmy and on time delivery with good behaviour my kidz love it,5,8.0.121,4/30/2023 14:50,0.392,0.0,0.608,Positive
164,164,6e560319-9bef-4da5-a70f-72860f30cb73,customer service one of the best,5,8.0.121,4/30/2023 2:51,0.457,0.0,0.543,Positive
165,165,72cc68e4-a118-43ba-8cae-4d652a26b43c,You know what you need to put in your apps the cancel option if you order you cant cancel it why like that,1,8.0.121,4/29/2023 21:27,0.094,0.151,0.755,Negative
166,166,8b14fbe2-8d1b-4e6f-adc7-b87b708fd9bf,bad service,1,8.0.121,4/29/2023 19:56,0.0,0.778,0.222,Negative
168,168,37c1bc5a-5547-486e-9f8b-3b5a143666e7,best app ever never disappointed me,5,8.0.121,4/29/2023 16:16,0.628,0.0,0.372,Positive
169,169,fac3e4ec-2fe7-4117-bd53-da951124bc34,sui,5,8.0.121,4/29/2023 12:26,0.0,0.0,1.0,Neutral
170,170,336158b2-e570-449b-aff7-a026f75444a6,"The delivery drivers are so nasty, they delivered my order with a lot of missing items and hungerstation is refusing to refund me but i will take it to the Ministry of Commerce",1,8.0.119,4/29/2023 10:43,0.0,0.183,0.817,Negative
172,172,4c698e5e-8099-4052-b256-bd8ebf47faa1,Bad apps Not working,1,8.0.121,4/29/2023 4:12,0.0,0.538,0.462,Negative
174,174,0b41830b-5978-4046-b8a2-54c59efa404d,nic,5,8.0.121,4/28/2023 22:58,0.0,0.0,1.0,Neutral
175,175,14c6430c-5151-4af8-b5e4-04b4b55ea511,Customer service sucks. I have send a tons of email and yet my issue is not solved.,1,8.0.121,4/28/2023 22:58,0.0,0.249,0.751,Negative
176,176,52245569-7a61-419f-b626-f0c4044ccbf1,When you have a missing item or wrong item. You cant even complain ! The app will force close alone,1,8.0.121,4/28/2023 21:55,0.089,0.32,0.591,Negative
177,177,c0f55404-14dd-41b1-bd87-f41d4764a455,very fast delevery,5,8.0.121,4/28/2023 21:06,0.0,0.0,1.0,Neutral
179,179,7052ecfc-cbab-409f-9192-e3ffa4cd1548,I like when there is a special price for delivery. not exceed 7-9 SR,5,8.0.121,4/28/2023 14:59,0.342,0.0,0.658,Positive
180,180,3a8d4066-218d-469a-b006-79876c10ce40,"They have the worst customer service, I am waiting for my refund since last 2 weeks, there is no response from their side, neither on email nor on app... I was a regular customer with them but this attitude has made me frustrated, they don't even customer care call facility.",1,8.0.121,4/28/2023 11:15,0.0,0.225,0.775,Negative
182,182,31f77d93-a549-4530-8b18-ff56b3bd01e6,Became extremely buggy recently,1,8.0.121,4/28/2023 8:35,0.0,0.0,1.0,Neutral
185,185,549fc1b7-1014-4f82-985c-1aee3939db1b,"I have been disappointed so many times, full order not delivered, order not delivered at all.",1,8.0.121,4/27/2023 21:37,0.0,0.181,0.819,Negative
186,186,ef8d2885-50bc-43a1-96c7-a61efadfd369,"worst experience ever. even customer service agents are non educated and never listen to the client.Agent asked me to wait and he left the conversation. Twice I found expired stuff from quick mart and when I've contacted customer service, they just ignore.",1,8.0.121,4/27/2023 20:55,0.0,0.145,0.855,Negative
187,187,186d8b9f-15dc-4415-beb4-1308ebed4e56,The app is good!! but sometimes they give they give the wrong order & if I order McDonalds there is one next to my house but the get me from 4.1km away and sometimes it's so expensive.,3,8.0.118,4/27/2023 20:53,0.049,0.119,0.832,Negative
188,188,273dc2a1-58b3-4859-8240-24e85dc18646,nice,5,8.0.121,4/27/2023 20:45,1.0,0.0,0.0,Positive
189,189,9559e346-5b7d-4dda-81c9-efa57552cdae,Excellent,5,,4/27/2023 20:14,1.0,0.0,0.0,Positive
190,190,2b5fba86-f1c6-4904-bf47-10e5368ad5c9,excellent service,5,8.0.121,4/27/2023 18:41,0.787,0.0,0.213,Positive
196,196,35c3837c-8a8f-41f9-bc6b-1f318894eb68,Not deliver some places in Makkah,1,8.0.121,4/27/2023 8:36,0.0,0.0,1.0,Neutral
198,198,39b06298-9e92-42e4-9c83-e1715457eeda,very expensive,3,8.0.121,4/27/2023 0:13,0.0,0.0,1.0,Neutral
201,201,040fc6b0-8f21-469f-a842-9c52d027bcb0,Excellent experience,5,8.0.121,4/26/2023 18:53,0.787,0.0,0.213,Positive
204,204,23529ec4-aa3c-4481-b5b0-07d377ad5650,"Worst ever customer service..... unfortunately, there's no rating below 1 star. Otherwise, I recommend a negative",1,8.0.121,4/26/2023 14:33,0.109,0.541,0.349,Negative
206,206,25291d25-2a08-4a11-b23f-89e4fef43a71,Pathetic app. Placed an order two hours ago no one is responding.,1,8.0.121,4/26/2023 0:21,0.0,0.371,0.629,Negative
209,209,db26e8d9-21c3-44ff-9d50-6c100a4ad779,The Menu is overpriced compared to the original one in the restaurants. Sometimes they deliver missing items and customer service is only drop down list there's no live chat not direct number. They also are very extremely limited discount vouchers I rarely find promo code. Delivery price is overpriced as well.,3,8.0.121,4/25/2023 19:34,0.076,0.177,0.747,Negative
210,210,923ce55b-2427-4cdc-abe3-d6e30c5f7010,"This whole campaign one month of free delivery is fake, but that is not my problem with them, the problem is when I submitted a ticket they spent more than 10 days without replying. Bad bad bad.",1,8.0.121,4/25/2023 19:28,0.39,0.042,0.568,Positive
212,212,27ef18cb-3eff-424c-87d0-e1d32cb4e6ac,very good,4,8.0.121,4/25/2023 13:41,0.762,0.0,0.238,Positive
213,213,327d9d25-a655-4848-911d-eca1fba14a2d,2w2 quite shy@,2,8.0.121,4/25/2023 12:21,0.0,0.0,1.0,Neutral
214,214,6108affb-a2cf-444c-8f14-77457563bdc2,Hunger station is the only app i have and i always have the most comvenient experience. Its been a month already that i have problem i cant register my address and it always says the application cant reach yet my location. And i have been using hunger stattion for 3 years. Please help. Thank you!,4,,4/25/2023 12:16,0.133,0.143,0.725,Negative
215,215,ed81a47a-23aa-4e19-8096-3752aa273f19,When you add items and make a purchase then it's not deliverable in your area.,1,8.0.121,4/24/2023 20:06,0.0,0.0,1.0,Neutral
217,217,41f5064e-2dcc-42c1-848f-bf52fa83f9fe,The wost i have ever dealt with no customer support and you can't know anything from them they say contact us but they dont do anything I don't recommend this app for new or old users,1,8.0.121,4/24/2023 7:13,0.05,0.115,0.835,Negative
219,219,8bca04c2-bae5-4369-82be-f867dd1b4f25,Worst app and service.when i order food they always deliver bad quality of food specially my last order from mc donalds.they give me dry and thin patties.i try to contact the help section but no one is answering my complaint for a refund.will not order and reccomend this to my friends,1,8.0.121,4/24/2023 4:46,0.101,0.175,0.724,Negative
221,221,28320836-2634-4d38-8694-9d0dfa063f23,It's good,5,8.0.121,4/24/2023 1:06,0.744,0.0,0.256,Positive
222,222,749cd39e-31de-49df-b8ce-80821af967c9,thank you hunger station. Eid Mubarak,5,8.0.121,4/23/2023 22:30,0.294,0.235,0.471,Positive
223,223,a18ae02d-0b4a-40aa-93e7-4623b9c572b1,i just lost money making an order with this app. worst app ever.,1,8.0.121,4/23/2023 20:03,0.0,0.39,0.61,Negative
225,225,aae35b14-da90-4c89-b9ef-5fc114bb49e2,"Very unprofessional, only allowed to write one phone number without an alternative number in case it was un reachable like most applications , cancelled my order after driver called within 10 minutes and when I recalled he didn't want to bring it and said order cancelled, no refund not even partial and more than 5 days to reply to my complaint not recommended",1,8.0.121,4/23/2023 16:08,0.072,0.218,0.71,Negative
226,226,0c5c3426-ab17-457f-bb9e-3a4d09f60960,I paid for HPlus for unlimited free delivery but most stores I still have to pay for delivery. So I was ripped off. I paid 1 year in advance.,1,8.0.119,4/23/2023 13:29,0.083,0.062,0.854,Positive
227,227,e38f0dff-0967-418d-aa5f-617f1765d23c,"Lots of mistakes in the orders and the delivery agents take their sweet time, going here and there before they bring your food all cold (you can track them and see) Now with subscriptions, they say there's an offer that starts the subscription for 9SAR only but when you get to pay it's 29SAR HAHA! You don't even get tiers or options. The support? Doesn't even exist. No, literally. They are now jacking up delivery fees to push you to buy subscriptions. Pop up offers are fake, too. Disappointed.",3,8.0.114,4/23/2023 13:06,0.125,0.11,0.765,Positive
229,229,df2ed072-67ad-4772-a246-e7b186028a9f,"Then can cancel your order without asking you with some stupid reason if you are not able to fulfill your duties properly then why you accept orders and put the person on hold and after waiting for 1,2 hours you just send him a message of cancellation of his order this is my second time with this kind of nonsense",1,8.0.121,4/23/2023 5:30,0.039,0.16,0.801,Negative
231,231,f1da65f4-d891-4db4-b6c1-5d5506a53809,Scammer!!!,1,8.0.121,4/23/2023 0:52,0.0,0.0,1.0,Neutral
232,232,8feab5c7-e588-4213-824c-69832f223fc9,I am pleased to order from Hunger station. they can deliver to you everything you like to eat. it sometimes takes a longer time than expected.,5,8.0.121,4/23/2023 0:22,0.19,0.07,0.739,Positive
233,233,c0a6e73f-5b49-447f-a38b-49e543518b0c,The app was not working,1,8.0.121,4/22/2023 18:13,0.0,0.0,1.0,Neutral
236,236,d1540cb5-eacf-4f94-a9dd-7deac6e0dfc2,"Awful customer service, I am uninstalling it, even the replies you get here are robotic. I just hate dealing with the inefficient, illiterate, copy-and-paste customer ""supposedly"" care!",1,8.0.121,4/22/2023 3:01,0.099,0.217,0.683,Negative
237,237,8729ed31-dbee-49ef-9016-48dfc1413ca3,very nice,5,8.0.121,4/21/2023 21:16,0.756,0.0,0.244,Positive
238,238,f8125bd1-259b-4bb3-9250-03c41b597e79,very nice good aap,5,8.0.116,4/21/2023 21:04,0.758,0.0,0.242,Positive
239,239,292eff2a-aee8-4ac9-a058-a8a9600afb4b,Room for improvement on delivery experience,4,8.0.120,4/21/2023 19:56,0.375,0.0,0.625,Positive
241,241,11000b92-80ed-48df-ab62-9b0b3ff50f82,"I ordered an iftar meal during ramadan for people to distribute, but unfortunately after I prepaid the order with my credit card. The tracking order status was set to delivered after just about 1 minute of my order? How is this possible? Even after waiting for several hours and days, my order was not delivered to my home address. I tried to contact them, but did not provide me with any solution. I could say that this company has the worst customer service I have ever experienced.",1,8.0.112,4/21/2023 17:56,0.069,0.099,0.833,Negative
